txId,userId,amount,currency,timestamp,merchant,category,location
a156f52b-c56d-4728-8e19-e27e85000d96,88671cc0-75ba-476c-a1ed-11109a99ce8d,74.11,USD,2026-06-01T00:26:00.000Z,Uber,Travel,"Denver, CO"
9083345a-9e64-403d-ac68-922beae5d7e3,7d348482-da58-4550-b368-0acafe1c24fd,79.12,USD,2026-06-01T00:37:00.000Z,Marriott Hotels,Travel,"Atlanta, GA"
08d50ee9-a52d-4cda-b23f-a44800528608,99a4bd37-8790-40db-a577-58571ddb9117,148.41,USD,2026-06-01T00:41:00.000Z,Apple Store,Electronics,"San Diego, CA"
9ed161c1-6169-488b-9e69-b0ec40977e34,4e776314-f9b4-4be1-b588-431f63e34234,36.81,USD,2026-06-01T02:33:00.000Z,Best Buy,Retail,"Chicago, IL"
5bbd4dbc-e73c-43ee-ab98-95d4dded8c49,26f8730e-a286-4a49-8f10-566e572c703f,147.19,USD,2026-06-01T03:37:00.000Z,Delta Airlines,Travel,"Miami, FL"
5b782b2a-b660-4a31-afa2-d9cad0ef2a16,0b54c81a-0c5e-417d-a964-5e00b9ca6a8b,135.53,USD,2026-06-01T04:02:00.000Z,Chipotle,Dining,"Denver, CO"
4dfec755-8993-4812-93cf-f66c6b3d074c,88671cc0-75ba-476c-a1ed-11109a99ce8d,65.13,USD,2026-06-01T04:11:00.000Z,Marriott Hotels,Travel,"Denver, CO"
28b3814a-b713-40ad-a4c4-d61d9ea4d1f9,ea0adf86-91fe-476b-bd6b-e0ecda9216a3,50.71,USD,2026-06-01T04:28:00.000Z,Delta Airlines,Travel,"Miami, FL"
dfe1825b-bb0a-4ed5-9d7e-9509c8171eb3,0bc51f3a-96d2-4ecc-a21c-121f5bd10b32,132.68,USD,2026-06-01T04:33:00.000Z,Best Buy,Retail,"Denver, CO"
3e754458-bbb7-4629-9808-d7fa50936822,e84dcf25-24f9-4d80-9ce3-7144a88a9afe,42.7,USD,2026-06-01T04:41:00.000Z,Steam,Entertainment,"Austin, TX"
9af18bb2-973a-403f-8c9c-f075ae4c2c14,f4280e8c-255f-42c7-a946-ec510547ebfd,22.29,USD,2026-06-01T05:04:00.000Z,Best Buy,Retail,"Portland, OR"
ecff9448-d6cf-4fc9-8ae4-eb004151f10b,c2970d04-8e95-4d6a-9036-bfca08d0c09b,81.19,USD,2026-06-01T05:21:00.000Z,Costco,Grocery,"Chicago, IL"
95510489-8c42-4b73-b49b-99de062cd35c,88c14721-e6b4-41c1-a711-513e76135837,67.58,USD,2026-06-01T05:23:00.000Z,Apple Store,Electronics,"Seattle, WA"
a0236343-5808-44b9-b1aa-a0169ff4f7ce,ea0adf86-91fe-476b-bd6b-e0ecda9216a3,95.37,USD,2026-06-01T06:04:00.000Z,Verizon Wireless,Utilities,"Miami, FL"
68aff155-f1db-4c47-9c66-e91513ee7580,466a7aa7-408c-4552-b7a8-8b403f46746d,76.75,USD,2026-06-01T06:06:00.000Z,Apple Store,Electronics,"Boston, MA"
e3a30c1c-ac51-4877-b59e-b29f49732c0e,e9aaba97-fe92-42f5-8181-363d12f43756,92.37,USD,2026-06-01T06:17:00.000Z,Amazon Electronics,Electronics,"Denver, CO"
4f09ea15-bf2c-4ed4-ad13-bc5ee11caeb6,66be6217-9fe7-4089-94cc-0fd0d0c801b3,39.01,USD,2026-06-01T06:26:00.000Z,Steam,Entertainment,"Miami, FL"
ef64f01a-b8f0-4777-8e6e-e0ab59e7511f,4574aef6-3810-47a1-9116-0659160dcbbc,96.35,USD,2026-06-01T07:16:00.000Z,Target,Retail,"Denver, CO"
f8da84ef-a25a-449d-a259-d6e1539824b9,e467227a-4f15-4a5a-aa85-9d6f81bac058,81.13,USD,2026-06-01T07:17:00.000Z,Spotify,Entertainment,"San Diego, CA"
c2270992-6d50-487b-b6bd-f78d3f3344f8,88c21214-8b0f-474a-939a-05c02cb96aaa,14.78,USD,2026-06-01T07:17:00.000Z,Netflix,Entertainment,"San Diego, CA"
857ef242-2b1d-4f7d-9473-8bf02cf68e31,c9e39aef-1dcf-4f43-ae62-f038867e21d9,40.78,USD,2026-06-01T07:22:00.000Z,Olive Garden,Dining,"Austin, TX"
e2e62b23-c1b9-4f97-971b-be257bcd659a,77d0db98-f386-4c2e-9f16-aef6acab4e75,15.96,USD,2026-06-01T07:28:00.000Z,Olive Garden,Dining,"Chicago, IL"
